CVE ID,Item,Asset Name,Asset ID,Class Type,Ipv4,Ipv6,Mac,Vendor,Os,Model,Firmware,Serial Number,Num Alerts,Insight Names
CVE-2026-10945,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10946,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10947,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10948,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10949,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10951,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10952,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10953,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10954,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10955,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10956,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10957,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10958,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10959,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10960,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10961,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10962,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10963,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10964,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10965,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10966,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10967,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10969,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10970,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10971,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10972,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10974,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10975,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10978,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10982,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10983,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10986,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10987,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10988,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10989,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10990,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10991,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-10995,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11000,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11002,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11003,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11009,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11010,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11011,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11012,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11015,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11021,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11024,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11028,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11030,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11037,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11040,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11041,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11042,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11043,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11046,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11047,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11049,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11050,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11052,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11054,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11055,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11056,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11058,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11059,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11060,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11061,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11063,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11065,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11066,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11068,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11070,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11071,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11072,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11074,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11076,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11077,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11079,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11080,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11082,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11085,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11086,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11088,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11091,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11092,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11094,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11095,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11100,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11102,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11103,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11108,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11111,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11112,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11113,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11114,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11116,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11117,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11118,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11119,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11120,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11124,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11125,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11130,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11131,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11136,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11144,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
CVE-2026-11146,1,DESKTOP-5NATTOG,402,IT,172.16.35.202,,"30:13:8B:8C:86:F7, 8C:53:E6:DB:74:01, 8C:53:E6:DB:74:02",Hewlett Packard,Windows 11,HP ProBook 445 14 inch G10 Notebook PC,,,,
